sex,age,race,marital-status,education,native-country,workclass,occupation,salary-class
Female,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Never-married,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Never-married,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Never-married,High School,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Never-married,High School,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Never-married,High School,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Separated,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,Black,Separated,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,40-59,Black,Never-married,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,Graduate,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Never-married,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Widowed,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Widowed,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Widowed,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Widowed,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Widowed,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Widowed,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Widowed,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Never-married,Professional Education,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Divorced,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Divorced,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Divorced,Undergraduate,North America,Non-Government,Nontechnical,>50K
Male,40-59,White,Never-married,Undergraduate,North America,Non-Government,Nontechnical,>50K
Male,40-59,White,Divorced,High School,North America,Government,Nontechnical,>50K
Male,40-59,White,Divorced,High School,North America,Government,Nontechnical,>50K
Female,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Never-married,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Separated,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,Black,Divorced,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,40-59,Black,Never-married,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,Undergraduate,North America,Government,Nontechnical,<=50K
Male,40-59,White,Divorced,Undergraduate,North America,Government,Nontechnical,<=50K
Female,40-59,White,Divorced,Undergraduate,Europe,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,Undergraduate,Europe,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Separated,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Widowed,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Widowed,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Widowed,Professional Education,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Divorced,Graduate,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Divorced,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Separated,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Widowed,High School,North America,Non-Government,Nontechnical,>50K
Female,40-59,White,Widowed,High School,North America,Non-Government,Nontechnical,>50K
Female,40-59,White,Widowed,High School,North America,Non-Government,Nontechnical,>50K
Female,40-59,White,Widowed,High School,North America,Non-Government,Nontechnical,>50K
Male,40-59,White,Never-married,High School,North America,Non-Government,Nontechnical,>50K
Male,40-59,White,Never-married,High School,North America,Non-Government,Nontechnical,>50K
Female,40-59,White,Divorced,Graduate,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Separated,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Widowed,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,Professional Education,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Widowed,Graduate,North America,Non-Government,Nontechnical,<=50K
Male,40-59,Black,Never-married,High School,North America,Non-Government,Nontechnical,<=50K
Male,40-59,Black,Never-married,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,Black,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Never-married,High School,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Separated,High School,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,Undergraduate,North America,Government,Nontechnical,<=50K
Female,40-59,White,Divorced,Undergraduate,North America,Government,Nontechnical,<=50K
Female,40-59,White,Divorced,Graduate,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Never-married,Undergraduate,North America,Non-Government,Nontechnical,>50K
Male,40-59,White,Divorced,Graduate,North America,Non-Government,Nontechnical,>50K
Male,40-59,White,Never-married,Graduate,North America,Non-Government,Nontechnical,>50K
Male,40-59,White,Never-married,Graduate,North America,Non-Government,Nontechnical,>50K
Male,40-59,White,Widowed,Undergraduate,North America,Non-Government,Nontechnical,>50K
Female,40-59,White,Divorced,High School,North America,Government,Nontechnical,>50K
Female,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,>50K
Female,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Never-married,High School,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Never-married,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,Undergraduate,North America,Government,Nontechnical,<=50K
Male,40-59,White,Divorced,Undergraduate,North America,Government,Nontechnical,<=50K
Female,40-59,White,Divorced,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Separated,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Widowed,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Never-married,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Never-married,Graduate,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Separated,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Never-married,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Never-married,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Widowed,High School,North America,Non-Government,Nontechnical,>50K
Female,40-59,White,Widowed,High School,North America,Non-Government,Nontechnical,>50K
Male,40-59,White,Never-married,High School,North America,Non-Government,Nontechnical,>50K
Female,40-59,White,Divorced,Undergraduate,North America,Non-Government,Nontechnical,>50K
Female,40-59,White,Widowed,Graduate,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Widowed,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Divorced,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Divorced,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Divorced,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Divorced,Graduate,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Divorced,Professional Education,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Never-married,High School,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Never-married,High School,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Never-married,High School,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,Black,Never-married,Undergraduate,North America,Government,Nontechnical,>50K
Female,40-59,Black,Never-married,Undergraduate,North America,Government,Nontechnical,>50K
Female,40-59,White,Divorced,Undergraduate,North America,Non-Government,Nontechnical,>50K
Female,40-59,White,Widowed,Professional Education,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Divorced,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,40-59,Black,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Never-married,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Widowed,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Widowed,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Divorced,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,40-59,White,Widowed,High School,North America,Non-Government,Nontechnical,>50K
Female,40-59,White,Widowed,High School,North America,Non-Government,Nontechnical,>50K
Female,40-59,White,Widowed,High School,North America,Non-Government,Nontechnical,>50K
Male,40-59,White,Never-married,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Divorced,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Separated,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,Graduate,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,60-79,Black,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Never-married,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Male,60-79,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Male,60-79,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Divorced,Professional Education,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Divorced,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Separated,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,60-79,White,Divorced,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,High School,North America,Non-Government,Nontechnical,>50K
Female,60-79,White,Widowed,High School,North America,Non-Government,Nontechnical,>50K
Female,60-79,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Male,60-79,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Divorced,Undergraduate,North America,Government,Nontechnical,<=50K
Female,60-79,White,Divorced,Undergraduate,North America,Government,Nontechnical,<=50K
Female,60-79,White,Divorced,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Divorced,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,60-79,White,Divorced,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,60-79,White,Never-married,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,60-79,White,Widowed,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,High School,North America,Non-Government,Nontechnical,>50K
Female,60-79,White,Never-married,High School,North America,Non-Government,Nontechnical,>50K
Male,60-79,White,Never-married,High School,North America,Non-Government,Nontechnical,>50K
Male,60-79,White,Widowed,High School,North America,Non-Government,Nontechnical,>50K
Female,60-79,White,Divorced,Undergraduate,North America,Non-Government,Nontechnical,>50K
Female,60-79,White,Divorced,Undergraduate,North America,Non-Government,Nontechnical,>50K
Female,60-79,White,Divorced,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,60-79,White,Divorced,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Divorced,Professional Education,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,60-79,White,Never-married,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,60-79,White,Divorced,Graduate,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Never-married,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Divorced,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Divorced,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,Professional Education,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Divorced,Professional Education,North America,Non-Government,Nontechnical,<=50K
Male,60-79,White,Divorced,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,60-79,White,Widowed,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Never-married,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Never-married,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,Professional Education,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,60-79,White,Divorced,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,60-79,White,Separated,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,High School,North America,Non-Government,Nontechnical,>50K
Female,60-79,White,Widowed,High School,North America,Non-Government,Nontechnical,>50K
Female,60-79,White,Divorced,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,60-79,White,Never-married,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,High School,North America,Government,Nontechnical,<=50K
Male,60-79,White,Widowed,High School,North America,Government,Nontechnical,<=50K
Female,60-79,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Male,60-79,White,Never-married,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Male,60-79,White,Widowed,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Divorced,Graduate,North America,Non-Government,Nontechnical,<=50K
Female,60-79,White,Widowed,Professional Education,North America,Non-Government,Nontechnical,<=50K
Male,60-79,White,Widowed,Graduate,North America,Non-Government,Nontechnical,<=50K
Male,60-79,White,Divorced,High School,North America,Non-Government,Nontechnical,<=50K
Male,60-79,White,Never-married,High School,North America,Non-Government,Nontechnical,>50K
Female,80-99,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Male,80-99,White,Widowed,High School,North America,Non-Government,Nontechnical,<=50K
Male,80-99,White,Never-married,High School,North America,Non-Government,Nontechnical,<=50K
Male,80-99,White,Never-married,High School,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Married-civ-spouse,Undergraduate,North America,Government,Nontechnical,<=50K
Male,40-59,White,Married-civ-spouse,Undergraduate,North America,Government,Nontechnical,<=50K
Male,40-59,White,Married-civ-spouse,Professional Education,North America,Non-Government,Nontechnical,>50K
Male,40-59,White,Married-civ-spouse,Professional Education,North America,Non-Government,Nontechnical,>50K
Male,40-59,White,Married-civ-spouse,Professional Education,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Married-civ-spouse,Professional Education,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Married-civ-spouse,Professional Education,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Married-civ-spouse,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Married-civ-spouse,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Married-civ-spouse,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Married-civ-spouse,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Married-civ-spouse,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Married-civ-spouse,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Married-civ-spouse,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Married-civ-spouse,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Married-civ-spouse,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Married-civ-spouse,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Married-civ-spouse,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,40-59,White,Married-civ-spouse,Undergraduate,North America,Non-Government,Nontechnical,<=50K
